"InstTerm","ADCGradTerm","ADCPersonID","ADCGradAcadProgram","GradProg","GradCert","CIPCode2010","InstCountry","InstState","InstShortName"
201601,2016SP,6016214,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6016270,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6017381,C25500C2,C25500,C2,52.1203,US,NC,CPCC
201601,2016SP,6017381,C25500C8,C25500,C8,52.1203,US,NC,CPCC
201601,2016SP,6017362,C25500C1,C25500,C1,52.1203,US,NC,CPCC
201601,2016SP,6017362,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016CE1,6017377,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6017370,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6017963,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6014537,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6019116,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6012820,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6015471,A40320,A40320,,15.0805,US,NC,CPCC
201601,2016CE1,6064261,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6064057,C25500C1,C25500,C1,52.1203,US,NC,CPCC
201601,2016SP,6062562,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6073723,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6073950,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6078900,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6071232,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6072350,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6072676,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6075324,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6075157,C5035010,C50350,10,41.0204,US,NC,CPCC
201601,2016SP,6075418,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6075012,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6070699,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6048995,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6044949,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6042532,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6040811,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6093222,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6091121,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6091088,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6095821,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6025876,AHS,AHS,,00.0000,US,NC,CPCC
